before_prompt,after_prompt,move,after_player,after_win_proba,before_player,before_win_proba,commentary
"FEN: rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1
[Black]: 46.9% cp:-25 d5 d4 e6 c4 Nf6 Bg5 c5 cxd5 cxd4 Qxd4 Qa5+ Bd2 Qxd5 Nc3 Qxd4 Nxd4 Bb4 a3 (Depth: 15) 
 [Black]: 46.8% cp:-26 Nf6 d4 e6 c4 d5 Bg5 Bb4+ Nc3 O-O cxd5 exd5 e3 c5 dxc5 Bg4 Be2 Bxc3+ bxc3 Nbd7 O-O (Depth: 15) 
 [Black]: 45.8% cp:-34 e6 e4 d5 e5 c5 c3 d4 Bd3 Nc6 Na3 Nge7 O-O Ng6 Nc4 Be7 Be4 O-O d3 (Depth: 15) 
 ","FEN: rnbqkbnr/pppppp1p/6p1/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2
[White]: 59.0% cp:73 e4 d6 d4 Nf6 Nc3 Bg7 h3 O-O Be3 Nbd7 Be2 c5 e5 Ne8 exd6 (Depth: 15) 
 [White]: 52.7% cp:22 d4 Nf6 c4 Bg7 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 c5 Bb5+ Bd7 Bxd7+ Nxd7 (Depth: 15) 
 [White]: 52.6% cp:21 Nc3 d5 d4 Nf6 Bf4 c6 Qd2 Bg7 e3 O-O Be2 Nbd7 O-O Nh5 (Depth: 15) 
 ",g6,White,59.02502519301834,Black,46.87906266262438,
"FEN: rnbqkbnr/pppppp1p/6p1/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2
[White]: 59.0% cp:73 e4 d6 d4 Nf6 Nc3 Bg7 h3 O-O Be3 Nbd7 Be2 c5 e5 Ne8 exd6 (Depth: 15) 
 [White]: 52.7% cp:22 d4 Nf6 c4 Bg7 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 c5 Bb5+ Bd7 Bxd7+ Nxd7 (Depth: 15) 
 [White]: 52.6% cp:21 Nc3 d5 d4 Nf6 Bf4 c6 Qd2 Bg7 e3 O-O Be2 Nbd7 O-O Nh5 (Depth: 15) 
 ","FEN: rnbqkbnr/pppppp1p/6p1/8/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2
[Black]: 46.4% cp:-29 Nf6 c4 Bg7 Nc3 d5 Qb3 c6 cxd5 cxd5 Bf4 O-O e3 Nc6 Be2 Na5 Qb4 Nh5 Be5 (Depth: 15) 
 [Black]: 43.9% cp:-49 d5 c4 c6 Nc3 Nf6 cxd5 cxd5 Bf4 Nc6 e3 Nh5 Bg5 a6 Be2 Bg7 (Depth: 15) 
 [Black]: 42.8% cp:-58 Bg7 e4 d6 Be2 Nf6 Nc3 O-O O-O e5 dxe5 dxe5 Nxe5 Nxe4 Nxf7 Qxd1 Bc4 Rxf7 Rxd1 Bxc3 (Depth: 15) 
 ",d4,Black,46.381337976820525,White,59.02502519301834,
"FEN: rnbqkbnr/pppppp1p/6p1/8/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2
[Black]: 46.4% cp:-29 Nf6 c4 Bg7 Nc3 d5 Qb3 c6 cxd5 cxd5 Bf4 O-O e3 Nc6 Be2 Na5 Qb4 Nh5 Be5 (Depth: 15) 
 [Black]: 43.9% cp:-49 d5 c4 c6 Nc3 Nf6 cxd5 cxd5 Bf4 Nc6 e3 Nh5 Bg5 a6 Be2 Bg7 (Depth: 15) 
 [Black]: 42.8% cp:-58 Bg7 e4 d6 Be2 Nf6 Nc3 O-O O-O e5 dxe5 dxe5 Nxe5 Nxe4 Nxf7 Qxd1 Bc4 Rxf7 Rxd1 Bxc3 (Depth: 15) 
 ","FEN: rnbqk1nr/ppppppbp/6p1/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 1 3
[White]: 56.8% cp:55 e4 d6 Be2 Nf6 Nc3 O-O O-O Bg4 a4 Bxf3 Bxf3 Nc6 a5 e5 d5 Nd4 Be2 c6 Bc4 (Depth: 15) 
 [White]: 56.8% cp:55 Nc3 Nf6 e4 d6 Be2 O-O O-O e5 dxe5 dxe5 Bg5 h6 (Depth: 15) 
 [White]: 53.5% cp:28 c4 Nf6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 O-O Be3 c5 Be2 cxd4 cxd4 Nc6 (Depth: 15) 
 ",Bg7,White,56.83199834782481,Black,46.381337976820525,
"FEN: rnbqk1nr/ppppppbp/6p1/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 1 3
[White]: 56.8% cp:55 e4 d6 Be2 Nf6 Nc3 O-O O-O Bg4 a4 Bxf3 Bxf3 Nc6 a5 e5 d5 Nd4 Be2 c6 Bc4 (Depth: 15) 
 [White]: 56.8% cp:55 Nc3 Nf6 e4 d6 Be2 O-O O-O e5 dxe5 dxe5 Bg5 h6 (Depth: 15) 
 [White]: 53.5% cp:28 c4 Nf6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 O-O Be3 c5 Be2 cxd4 cxd4 Nc6 (Depth: 15) 
 ","FEN: rnbqk1nr/ppppppbp/6p1/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 2 3
[Black]: 45.6% cp:-35 d5 e4 dxe4 Nxe4 Nf6 Nxf6+ exf6 Bb5+ c6 Qe2+ Qe7 Qxe7+ Kxe7 Be2 Be6 O-O Nd7 (Depth: 15) 
 [Black]: 44.5% cp:-44 Nf6 e4 d5 e5 Ne4 Qd3 O-O Nxe4 Bf5 Qb3 dxe4 Qxb7 Nd7 Nh4 (Depth: 15) 
 [Black]: 42.7% cp:-59 c5 d5 f5 Bd2 Nf6 e4 fxe4 Ng5 O-O d6 Nc6 (Depth: 15) 
 ",Nc3,Black,45.63613127629211,White,56.83199834782481,
"FEN: rnbqk1nr/ppppppbp/6p1/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 2 3
[Black]: 45.6% cp:-35 d5 e4 dxe4 Nxe4 Nf6 Nxf6+ exf6 Bb5+ c6 Qe2+ Qe7 Qxe7+ Kxe7 Be2 Be6 O-O Nd7 (Depth: 15) 
 [Black]: 44.5% cp:-44 Nf6 e4 d5 e5 Ne4 Qd3 O-O Nxe4 Bf5 Qb3 dxe4 Qxb7 Nd7 Nh4 (Depth: 15) 
 [Black]: 42.7% cp:-59 c5 d5 f5 Bd2 Nf6 e4 fxe4 Ng5 O-O d6 Nc6 (Depth: 15) 
 ","FEN: rnbqk1nr/ppp1ppbp/3p2p1/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 0 4
[White]: 57.2% cp:58 e4 Nf6 Be2 O-O Bg5 d5 exd5 Nxd5 Nxd5 Qxd5 O-O Nc6 c3 e5 dxe5 Qxd1 Bxd1 (Depth: 15) 
 [White]: 55.7% cp:46 Bf4 Nf6 Qd2 O-O e4 c5 dxc5 dxc5 O-O-O Nc6 Qxd8 Rxd8 Rxd8+ Nxd8 (Depth: 15) 
 [White]: 55.6% cp:45 h3 d5 e4 dxe4 Nxe4 Nf6 Nxf6+ exf6 Qe2+ Be6 Qb5+ Qd7 Qxb7 Bd5 Qb5 Nc6 c3 (Depth: 15) 
 ",d6,White,57.19961329315186,Black,45.63613127629211,
"FEN: rnbqk1nr/ppp1ppbp/3p2p1/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 0 4
[White]: 57.2% cp:58 e4 Nf6 Be2 O-O Bg5 d5 exd5 Nxd5 Nxd5 Qxd5 O-O Nc6 c3 e5 dxe5 Qxd1 Bxd1 (Depth: 15) 
 [White]: 55.7% cp:46 Bf4 Nf6 Qd2 O-O e4 c5 dxc5 dxc5 O-O-O Nc6 Qxd8 Rxd8 Rxd8+ Nxd8 (Depth: 15) 
 [White]: 55.6% cp:45 h3 d5 e4 dxe4 Nxe4 Nf6 Nxf6+ exf6 Qe2+ Be6 Qb5+ Qd7 Qxb7 Bd5 Qb5 Nc6 c3 (Depth: 15) 
 ","FEN: rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4
[Black]: 43.2% cp:-55 Nf6 Be3 O-O Qd2 c5 dxc5 dxc5 Bxc5 Nc6 Qxd8 Rxd8 Bb5 Nd7 Be3 Nb6 Nd2 Be6 Bxc6 (Depth: 15) 
 [Black]: 40.4% cp:-78 a6 Be3 Nf6 Qd2 O-O Bh6 b5 Bd3 Bb7 e5 Nh5 O-O-O Bxf3 gxf3 Nc6 Bxg7 (Depth: 15) 
 [Black]: 40.4% cp:-78 c6 Be3 Nf6 Qd2 Qa5 Bd3 Ng4 Bg5 e5 dxe5 Nxe5 Nxe5 dxe5 Bc4 O-O h3 b5 Bb3 (Depth: 15) 
 ",e4,Black,43.16800165217519,White,57.19961329315186,
"FEN: rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4
[Black]: 43.2% cp:-55 Nf6 Be3 O-O Qd2 c5 dxc5 dxc5 Bxc5 Nc6 Qxd8 Rxd8 Bb5 Nd7 Be3 Nb6 Nd2 Be6 Bxc6 (Depth: 15) 
 [Black]: 40.4% cp:-78 a6 Be3 Nf6 Qd2 O-O Bh6 b5 Bd3 Bb7 e5 Nh5 O-O-O Bxf3 gxf3 Nc6 Bxg7 (Depth: 15) 
 [Black]: 40.4% cp:-78 c6 Be3 Nf6 Qd2 Qa5 Bd3 Ng4 Bg5 e5 dxe5 Nxe5 Nxe5 dxe5 Bc4 O-O h3 b5 Bb3 (Depth: 15) 
 ","FEN: rnbqk1nr/1pp1ppbp/p2p2p1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5
[White]: 59.7% cp:79 Be3 b5 h4 Nf6 h5 Nxh5 e5 Nd7 Rh4 b4 Ne4 Bb7 (Depth: 15) 
 [White]: 58.3% cp:67 h3 e6 a4 Nf6 Be2 Nc6 a5 O-O Bg5 h6 Be3 Kh7 (Depth: 15) 
 [White]: 57.8% cp:63 Bf4 Bg4 Qd2 Bxf3 gxf3 Nc6 Be3 e5 dxe5 dxe5 O-O-O Qxd2+ Rxd2 Nf6 Bh3 O-O Rhd1 Nd4 Rd3 Nxf3 (Depth: 15) 
 ",a6,White,59.74857658270161,Black,43.16800165217519,
"FEN: rnbqk1nr/1pp1ppbp/p2p2p1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5
[White]: 59.7% cp:79 Be3 b5 h4 Nf6 h5 Nxh5 e5 Nd7 Rh4 b4 Ne4 Bb7 (Depth: 15) 
 [White]: 58.3% cp:67 h3 e6 a4 Nf6 Be2 Nc6 a5 O-O Bg5 h6 Be3 Kh7 (Depth: 15) 
 [White]: 57.8% cp:63 Bf4 Bg4 Qd2 Bxf3 gxf3 Nc6 Be3 e5 dxe5 dxe5 O-O-O Qxd2+ Rxd2 Nf6 Bh3 O-O Rhd1 Nd4 Rd3 Nxf3 (Depth: 15) 
 ","FEN: rnbqk1nr/1pp1ppbp/p2p2p1/8/3PP3/2N1BN2/PPP2PPP/R2QKB1R b KQkq - 1 5
[Black]: 40.6% cp:-76 b5 Bd3 Nd7 h4 b4 Nd5 Ngf6 Nxb4 c5 Nd5 Nxd5 exd5 Nf6 dxc5 dxc5 (Depth: 15) 
 [Black]: 40.1% cp:-80 Nf6 Qd2 O-O Bh6 c5 h4 cxd4 Nxd4 Bxh6 Qxh6 Ng4 (Depth: 15) 
 [Black]: 39.3% cp:-87 Nd7 Bc4 e6 a4 b6 d5 Bxc3+ bxc3 e5 a5 Ngf6 Nd2 Nc5 axb6 cxb6 Bd3 Qc7 h3 O-O (Depth: 15) 
 ",Be3,Black,40.612689706585726,White,59.74857658270161,
"FEN: rnbqk1nr/1pp1ppbp/p2p2p1/8/3PP3/2N1BN2/PPP2PPP/R2QKB1R b KQkq - 1 5
[Black]: 40.6% cp:-76 b5 Bd3 Nd7 h4 b4 Nd5 Ngf6 Nxb4 c5 Nd5 Nxd5 exd5 Nf6 dxc5 dxc5 (Depth: 15) 
 [Black]: 40.1% cp:-80 Nf6 Qd2 O-O Bh6 c5 h4 cxd4 Nxd4 Bxh6 Qxh6 Ng4 (Depth: 15) 
 [Black]: 39.3% cp:-87 Nd7 Bc4 e6 a4 b6 d5 Bxc3+ bxc3 e5 a5 Ngf6 Nd2 Nc5 axb6 cxb6 Bd3 Qc7 h3 O-O (Depth: 15) 
 ","FEN: rnbqk2r/1pp1ppbp/p2p1np1/8/3PP3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 2 6
[White]: 59.9% cp:80 Qd2 O-O Bh6 c5 Bxg7 Kxg7 O-O-O Nc6 dxc5 dxc5 Qe3 Qa5 Bc4 Ng4 Qe1 Nge5 Nxe5 Nxe5 (Depth: 15) 
 [White]: 58.8% cp:71 Qe2 c6 O-O-O b5 e5 Nd5 Nxd5 cxd5 Qd2 dxe5 dxe5 Nc6 Qxd5 Qxd5 Rxd5 Be6 (Depth: 15) 
 [White]: 57.3% cp:59 Be2 O-O a4 Nc6 h3 d5 e5 Ne4 h4 (Depth: 15) 
 ",Nf6,White,59.8687660112452,Black,40.612689706585726,
"FEN: rnbqk2r/1pp1ppbp/p2p1np1/8/3PP3/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 2 6
[White]: 59.9% cp:80 Qd2 O-O Bh6 c5 Bxg7 Kxg7 O-O-O Nc6 dxc5 dxc5 Qe3 Qa5 Bc4 Ng4 Qe1 Nge5 Nxe5 Nxe5 (Depth: 15) 
 [White]: 58.8% cp:71 Qe2 c6 O-O-O b5 e5 Nd5 Nxd5 cxd5 Qd2 dxe5 dxe5 Nc6 Qxd5 Qxd5 Rxd5 Be6 (Depth: 15) 
 [White]: 57.3% cp:59 Be2 O-O a4 Nc6 h3 d5 e5 Ne4 h4 (Depth: 15) 
 ","FEN: rnbqk2r/1pp1ppbp/p2p1np1/8/3PP3/2N1BN2/PPPQ1PPP/R3KB1R b KQkq - 3 6
[Black]: 40.9% cp:-74 O-O Bh6 c5 O-O-O cxd4 Nxd4 Bxh6 Qxh6 Nc6 h4 (Depth: 15) 
 [Black]: 39.1% cp:-89 Nbd7 O-O-O b5 e5 b4 Na4 Nd5 h4 h5 e6 fxe6 Ng5 Nf8 c4 bxc3 Nxc3 Rb8 Bd3 Nxc3 Qxc3 (Depth: 15) 
 [Black]: 36.2% cp:-113 b5 Bh6 O-O Bd3 Nc6 e5 dxe5 dxe5 Ng4 Bxg7 Kxg7 Qf4 b4 Ne2 Qd5 (Depth: 15) 
 ",Qd2,Black,40.85410215672199,White,59.8687660112452,
